year,month,district,zone,value
2015,1,ARGANZUELA,CHOPERA,20011
2015,1,ARGANZUELA,LEGAZPI,17982
2015,1,ARGANZUELA,ATOCHA,1095
2015,1,ARGANZUELA,IMPERIAL,22743
2015,1,ARGANZUELA,ACACIAS,36681
2015,1,ARGANZUELA,DELICIAS,26708
2015,1,ARGANZUELA,PALOS DE MOGUER,25656
2015,2,ARGANZUELA,PALOS DE MOGUER,25612
2015,2,ARGANZUELA,CHOPERA,19935
2015,2,ARGANZUELA,ATOCHA,1088
2015,2,ARGANZUELA,IMPERIAL,22721
2015,2,ARGANZUELA,ACACIAS,36622
2015,2,ARGANZUELA,DELICIAS,26696
2015,2,ARGANZUELA,LEGAZPI,18044
2015,3,ARGANZUELA,DELICIAS,26719
2015,3,ARGANZUELA,CHOPERA,19945
2015,3,ARGANZUELA,LEGAZPI,18107
2015,3,ARGANZUELA,IMPERIAL,22708
2015,3,ARGANZUELA,ACACIAS,36648
2015,3,ARGANZUELA,PALOS DE MOGUER,25599
2015,3,ARGANZUELA,ATOCHA,1080
2015,4,ARGANZUELA,LEGAZPI,18090
2015,4,ARGANZUELA,PALOS DE MOGUER,25595
2015,4,ARGANZUELA,ACACIAS,36600
2015,4,ARGANZUELA,IMPERIAL,22654
2015,4,ARGANZUELA,ATOCHA,1089
2015,4,ARGANZUELA,DELICIAS,26752
2015,4,ARGANZUELA,CHOPERA,19918
2015,5,ARGANZUELA,PALOS DE MOGUER,25685
2015,5,ARGANZUELA,ACACIAS,36672
2015,5,ARGANZUELA,IMPERIAL,22644
2015,5,ARGANZUELA,CHOPERA,19987
2015,5,ARGANZUELA,LEGAZPI,18134
2015,5,ARGANZUELA,ATOCHA,1093
2015,5,ARGANZUELA,DELICIAS,26838
2015,6,ARGANZUELA,LEGAZPI,18173
2015,6,ARGANZUELA,IMPERIAL,22653
2015,6,ARGANZUELA,ATOCHA,1091
2015,6,ARGANZUELA,DELICIAS,26874
2015,6,ARGANZUELA,PALOS DE MOGUER,25701
2015,6,ARGANZUELA,ACACIAS,36644
2015,6,ARGANZUELA,CHOPERA,20082
2015,7,ARGANZUELA,ACACIAS,36588
2015,7,ARGANZUELA,CHOPERA,19985
2015,7,ARGANZUELA,LEGAZPI,18206
2015,7,ARGANZUELA,ATOCHA,1094
2015,7,ARGANZUELA,DELICIAS,26873
2015,7,ARGANZUELA,IMPERIAL,22593
2015,7,ARGANZUELA,PALOS DE MOGUER,25598
2015,8,ARGANZUELA,ACACIAS,36539
2015,8,ARGANZUELA,PALOS DE MOGUER,25562
2015,8,ARGANZUELA,ATOCHA,1096
2015,8,ARGANZUELA,IMPERIAL,22647
2015,8,ARGANZUELA,CHOPERA,19976
2015,8,ARGANZUELA,DELICIAS,26898
2015,8,ARGANZUELA,LEGAZPI,18185
2015,9,ARGANZUELA,LEGAZPI,18227
2015,9,ARGANZUELA,DELICIAS,27032
2015,9,ARGANZUELA,ATOCHA,1109
2015,9,ARGANZUELA,PALOS DE MOGUER,25675
2015,9,ARGANZUELA,ACACIAS,36637
2015,9,ARGANZUELA,CHOPERA,20019
2015,9,ARGANZUELA,IMPERIAL,22707
2015,10,ARGANZUELA,LEGAZPI,18320
2015,10,ARGANZUELA,ACACIAS,36685
2015,10,ARGANZUELA,IMPERIAL,22724
2015,10,ARGANZUELA,DELICIAS,27140
2015,10,ARGANZUELA,ATOCHA,1110
2015,10,ARGANZUELA,CHOPERA,20024
2015,10,ARGANZUELA,PALOS DE MOGUER,25805
2015,11,ARGANZUELA,ACACIAS,36696
2015,11,ARGANZUELA,DELICIAS,27173
2015,11,ARGANZUELA,ATOCHA,1109
2015,11,ARGANZUELA,LEGAZPI,18349
2015,11,ARGANZUELA,CHOPERA,19931
2015,11,ARGANZUELA,PALOS DE MOGUER,25778
2015,11,ARGANZUELA,IMPERIAL,22713
2015,12,ARGANZUELA,ACACIAS,36694
2015,12,ARGANZUELA,PALOS DE MOGUER,25793
2015,12,ARGANZUELA,CHOPERA,19971
2015,12,ARGANZUELA,IMPERIAL,22735
2015,12,ARGANZUELA,ATOCHA,1111
2015,12,ARGANZUELA,DELICIAS,27168
2015,12,ARGANZUELA,LEGAZPI,18421
2015,1,BARAJAS,CASCO H.BARAJAS,7290
2015,1,BARAJAS,TIMON,10079
2015,1,BARAJAS,CORRALEJOS,7228
2015,1,BARAJAS,AEROPUERTO,1776
2015,1,BARAJAS,ALAMEDA DE OSUNA,19477
2015,2,BARAJAS,AEROPUERTO,1775
2015,2,BARAJAS,TIMON,10134
2015,2,BARAJAS,CORRALEJOS,7232
2015,2,BARAJAS,CASCO H.BARAJAS,7301
2015,2,BARAJAS,ALAMEDA DE OSUNA,19488
2015,3,BARAJAS,ALAMEDA DE OSUNA,19512
2015,3,BARAJAS,CORRALEJOS,7294
2015,3,BARAJAS,AEROPUERTO,1788
