year;month;districtId;district;neighborhoodId;neighborhood;value
2005;1;2;ARGANZUELA;2003;CHOPERA;22676
2005;1;2;ARGANZUELA;2002;ACACIAS;37880
2005;1;2;ARGANZUELA;2005;DELICIAS;25544
2005;1;2;ARGANZUELA;2004;LEGAZPI;9438
2005;1;2;ARGANZUELA;2006;PALOS DE MOGUER;29371
2005;1;2;ARGANZUELA;2001;IMPERIAL;23059
2005;1;2;ARGANZUELA;2007;ATOCHA;1168
2005;2;2;ARGANZUELA;2003;CHOPERA;22755
2005;2;2;ARGANZUELA;2004;LEGAZPI;9504
2005;2;2;ARGANZUELA;2005;DELICIAS;25658
2005;2;2;ARGANZUELA;2001;IMPERIAL;23102
2005;2;2;ARGANZUELA;2002;ACACIAS;37995
2005;2;2;ARGANZUELA;2007;ATOCHA;1161
2005;2;2;ARGANZUELA;2006;PALOS DE MOGUER;29493
2005;3;2;ARGANZUELA;2002;ACACIAS;38062
2005;3;2;ARGANZUELA;2001;IMPERIAL;23104
2005;3;2;ARGANZUELA;2007;ATOCHA;1150
2005;3;2;ARGANZUELA;2005;DELICIAS;25742
2005;3;2;ARGANZUELA;2004;LEGAZPI;9586
2005;3;2;ARGANZUELA;2006;PALOS DE MOGUER;29535
2005;3;2;ARGANZUELA;2003;CHOPERA;22825
2005;4;2;ARGANZUELA;2002;ACACIAS;38005
2005;4;2;ARGANZUELA;2007;ATOCHA;1141
2005;4;2;ARGANZUELA;2005;DELICIAS;25724
2005;4;2;ARGANZUELA;2006;PALOS DE MOGUER;29489
2005;4;2;ARGANZUELA;2001;IMPERIAL;23025
2005;4;2;ARGANZUELA;2004;LEGAZPI;9637
2005;4;2;ARGANZUELA;2003;CHOPERA;22760
2005;5;2;ARGANZUELA;2002;ACACIAS;38031
2005;5;2;ARGANZUELA;2001;IMPERIAL;23060
2005;5;2;ARGANZUELA;2006;PALOS DE MOGUER;29551
2005;5;2;ARGANZUELA;2003;CHOPERA;22724
2005;5;2;ARGANZUELA;2004;LEGAZPI;9701
2005;5;2;ARGANZUELA;2007;ATOCHA;1137
2005;5;2;ARGANZUELA;2005;DELICIAS;25798
2005;6;2;ARGANZUELA;2001;IMPERIAL;23055
2005;6;2;ARGANZUELA;2004;LEGAZPI;9783
2005;6;2;ARGANZUELA;2005;DELICIAS;25861
2005;6;2;ARGANZUELA;2007;ATOCHA;1118
2005;6;2;ARGANZUELA;2003;CHOPERA;22654
2005;6;2;ARGANZUELA;2002;ACACIAS;37982
