year;townId;name;value
2007;1; La Acebeda;58
2007;2;Ajalvir;3448
2007;3;Alameda del Valle;244
2007;4; El Álamo;7265
2007;5;Alcalá de Henares;198723
2007;6;Alcobendas;105951
2007;7;Alcorcón;166553
2007;8;Aldea del Fresno;2246
2007;9;Algete;18429
2007;10;Alpedrete;12016
2007;11;Ambite;467
2007;12;Anchuelo;916
2007;13;Aranjuez;49420
2007;14;Arganda del Rey;47373
2007;15;Arroyomolinos;9771
2007;16; El Atazar;116
2007;17;Batres;1403
2007;18;Becerril de la Sierra;4887
2007;19;Belmonte de Tajo;1326
2007;21; El Berrueco;590
2007;20;Berzosa del Lozoya;190
2007;22;Boadilla del Monte;39791
2007;23; El Boalo;5750
2007;24;Braojos;175
2007;25;Brea de Tajo;523
2007;26;Brunete;8967
2007;27;Buitrago del Lozoya;1936
2007;28;Bustarviejo;1984
2007;29;Cabanillas de la Sierra;697
2007;30; La Cabrera;2314
2007;31;Cadalso de los Vidrios;2864
2007;32;Camarma de Esteruelas;5759
2007;33;Campo Real;4466
2007;34;Canencia;495
2007;35;Carabaña;1691
2007;36;Casarrubuelos;2894
2007;37;Cenicientos;2023
2007;38;Cercedilla;6773
2007;39;Cervera de Buitrago;147
2007;51;Chapinería;1917
2007;52;Chinchón;5071
2007;40;Ciempozuelos;20010
2007;41;Cobeña;4844
2007;46;Collado Mediano;6159
2007;47;Collado Villalba;52886
2007;43;Colmenar de Oreja;7656
2007;42;Colmenar del Arroyo;1268
2007;45;Colmenar Viejo;41264
2007;44;Colmenarejo;7596
2007;48;Corpa;503
2007;49;Coslada;86478
2007;50;Cubas de la Sagra;3677
2007;53;Daganzo de Arriba;7895
2007;54; El Escorial;14492
2007;55;Estremera;1486
2007;56;Fresnedillas de la Oliva;1298
2007;57;Fresno de Torote;1778
2007;58;Fuenlabrada;194142
2007;59;Fuente el Saz de Jarama;5860
2007;60;Fuentidueña de Tajo;1920
2007;61;Galapagar;30007
2007;62;Garganta de los Montes;392
2007;63;Gargantilla del Lozoya y Pinilla de Buitrago;371
2007;64;Gascones;148
