year,month,district,zone,value
2010,9,BARAJAS,CASCO H.BARAJAS,8006
2010,9,BARAJAS,ALAMEDA DE OSUNA,20587
2010,10,BARAJAS,AEROPUERTO,2127
2010,10,BARAJAS,CASCO H.BARAJAS,7991
2010,10,BARAJAS,ALAMEDA DE OSUNA,20529
2010,10,BARAJAS,CORRALEJOS,6973
2010,10,BARAJAS,TIMON,8754
2010,11,BARAJAS,ALAMEDA DE OSUNA,20515
2010,11,BARAJAS,CORRALEJOS,6996
2010,11,BARAJAS,AEROPUERTO,2103
2010,11,BARAJAS,CASCO H.BARAJAS,7993
2010,11,BARAJAS,TIMON,8801
2010,12,BARAJAS,CORRALEJOS,7032
2010,12,BARAJAS,ALAMEDA DE OSUNA,20536
2010,12,BARAJAS,TIMON,8867
2010,12,BARAJAS,AEROPUERTO,2113
2010,12,BARAJAS,CASCO H.BARAJAS,8011
2010,1,CARABANCHEL,OPAÑEL,33912
2010,1,CARABANCHEL,ABRANTES,31235
2010,1,CARABANCHEL,BUENAVISTA,43043
2010,1,CARABANCHEL,SAN ISIDRO,40759
2010,1,CARABANCHEL,COMILLAS,24154
2010,1,CARABANCHEL,VISTA ALEGRE,48620
2010,1,CARABANCHEL,PUERTA BONITA,35641
2010,2,CARABANCHEL,SAN ISIDRO,40724
2010,2,CARABANCHEL,COMILLAS,24199
2010,2,CARABANCHEL,BUENAVISTA,43086
2010,2,CARABANCHEL,VISTA ALEGRE,48522
2010,2,CARABANCHEL,OPAÑEL,33865
2010,2,CARABANCHEL,ABRANTES,31226
2010,2,CARABANCHEL,PUERTA BONITA,35667
2010,3,CARABANCHEL,COMILLAS,24156
2010,3,CARABANCHEL,SAN ISIDRO,40763
2010,3,CARABANCHEL,ABRANTES,31277
2010,3,CARABANCHEL,BUENAVISTA,43236
2010,3,CARABANCHEL,PUERTA BONITA,35646
2010,3,CARABANCHEL,VISTA ALEGRE,48482
2010,3,CARABANCHEL,OPAÑEL,33885
2010,4,CARABANCHEL,PUERTA BONITA,35675
2010,4,CARABANCHEL,SAN ISIDRO,40768
