year,month,district,zone,value
2018,1,ARGANZUELA,CHOPERA,19866
2018,1,ARGANZUELA,ACACIAS,36856
2018,1,ARGANZUELA,PALOS DE MOGUER,25838
2018,1,ARGANZUELA,ATOCHA,1165
2018,1,ARGANZUELA,LEGAZPI,19334
2018,1,ARGANZUELA,DELICIAS,27586
2018,1,ARGANZUELA,IMPERIAL,22787
2018,2,ARGANZUELA,ACACIAS,36822
2018,2,ARGANZUELA,DELICIAS,27616
2018,2,ARGANZUELA,LEGAZPI,19371
2018,2,ARGANZUELA,CHOPERA,19882
2018,2,ARGANZUELA,IMPERIAL,22784
2018,2,ARGANZUELA,PALOS DE MOGUER,25878
2018,2,ARGANZUELA,ATOCHA,1172
2018,3,ARGANZUELA,IMPERIAL,22764
2018,3,ARGANZUELA,ATOCHA,1167
2018,3,ARGANZUELA,DELICIAS,27537
2018,3,ARGANZUELA,CHOPERA,19845
2018,3,ARGANZUELA,ACACIAS,36789
2018,3,ARGANZUELA,LEGAZPI,19405
2018,3,ARGANZUELA,PALOS DE MOGUER,25827
2018,4,ARGANZUELA,CHOPERA,19949
2018,4,ARGANZUELA,ATOCHA,1169
2018,4,ARGANZUELA,LEGAZPI,19478
2018,4,ARGANZUELA,IMPERIAL,22766
2018,4,ARGANZUELA,PALOS DE MOGUER,25876
2018,4,ARGANZUELA,ACACIAS,36850
2018,4,ARGANZUELA,DELICIAS,27613
2018,5,ARGANZUELA,PALOS DE MOGUER,25841
2018,5,ARGANZUELA,ATOCHA,1168
2018,5,ARGANZUELA,CHOPERA,19870
2018,5,ARGANZUELA,IMPERIAL,22739
2018,5,ARGANZUELA,LEGAZPI,19477
2018,5,ARGANZUELA,ACACIAS,36744
2018,5,ARGANZUELA,DELICIAS,27581
2018,6,ARGANZUELA,DELICIAS,27596
2018,6,ARGANZUELA,ACACIAS,36740
2018,6,ARGANZUELA,CHOPERA,19883
2018,6,ARGANZUELA,IMPERIAL,22713
2018,6,ARGANZUELA,PALOS DE MOGUER,25812
2018,6,ARGANZUELA,ATOCHA,1166
2018,6,ARGANZUELA,LEGAZPI,19500
2018,7,ARGANZUELA,DELICIAS,27616
2018,7,ARGANZUELA,PALOS DE MOGUER,25805
2018,7,ARGANZUELA,CHOPERA,19883
2018,7,ARGANZUELA,LEGAZPI,19561
2018,7,ARGANZUELA,ACACIAS,36774
2018,7,ARGANZUELA,ATOCHA,1165
2018,7,ARGANZUELA,IMPERIAL,22710
2018,8,ARGANZUELA,ATOCHA,1159
2018,8,ARGANZUELA,ACACIAS,36795
2018,8,ARGANZUELA,CHOPERA,19914
2018,8,ARGANZUELA,PALOS DE MOGUER,25817
2018,8,ARGANZUELA,IMPERIAL,22721
2018,8,ARGANZUELA,DELICIAS,27613
2018,8,ARGANZUELA,LEGAZPI,19538
