year,month,district,zone,value
2014,1,ARGANZUELA,ATOCHA,1085
2014,1,ARGANZUELA,CHOPERA,20196
2014,1,ARGANZUELA,LEGAZPI,17574
2014,1,ARGANZUELA,IMPERIAL,22806
2014,1,ARGANZUELA,DELICIAS,26887
2014,1,ARGANZUELA,ACACIAS,36957
2014,1,ARGANZUELA,PALOS DE MOGUER,26169
2014,2,ARGANZUELA,IMPERIAL,22821
2014,2,ARGANZUELA,PALOS DE MOGUER,26158
2014,2,ARGANZUELA,ACACIAS,36926
2014,2,ARGANZUELA,LEGAZPI,17619
2014,2,ARGANZUELA,CHOPERA,20157
2014,2,ARGANZUELA,DELICIAS,26854
2014,2,ARGANZUELA,ATOCHA,1086
2014,3,ARGANZUELA,LEGAZPI,17713
2014,3,ARGANZUELA,IMPERIAL,22845
2014,3,ARGANZUELA,ATOCHA,1098
2014,3,ARGANZUELA,CHOPERA,20183
2014,3,ARGANZUELA,ACACIAS,36988
2014,3,ARGANZUELA,PALOS DE MOGUER,26110
2014,3,ARGANZUELA,DELICIAS,26883
2014,4,ARGANZUELA,LEGAZPI,17726
2014,4,ARGANZUELA,ATOCHA,1095
2014,4,ARGANZUELA,IMPERIAL,22762
2014,4,ARGANZUELA,CHOPERA,20129
2014,4,ARGANZUELA,DELICIAS,26810
2014,4,ARGANZUELA,ACACIAS,36942
2014,4,ARGANZUELA,PALOS DE MOGUER,26002
2014,5,ARGANZUELA,ATOCHA,1095
2014,5,ARGANZUELA,CHOPERA,20068
2014,5,ARGANZUELA,PALOS DE MOGUER,25961
2014,5,ARGANZUELA,IMPERIAL,22742
2014,5,ARGANZUELA,ACACIAS,36865
2014,5,ARGANZUELA,DELICIAS,26805
2014,5,ARGANZUELA,LEGAZPI,17730
2014,6,ARGANZUELA,ATOCHA,1097
2014,6,ARGANZUELA,PALOS DE MOGUER,25850
2014,6,ARGANZUELA,CHOPERA,20030
2014,6,ARGANZUELA,LEGAZPI,17752
2014,6,ARGANZUELA,DELICIAS,26834
2014,6,ARGANZUELA,ACACIAS,36864
2014,6,ARGANZUELA,IMPERIAL,22712
2014,7,ARGANZUELA,ATOCHA,1092
2014,7,ARGANZUELA,ACACIAS,36770
2014,7,ARGANZUELA,LEGAZPI,17778
2014,7,ARGANZUELA,DELICIAS,26745
2014,7,ARGANZUELA,PALOS DE MOGUER,25788
2014,7,ARGANZUELA,IMPERIAL,22644
2014,7,ARGANZUELA,CHOPERA,19962
2014,8,ARGANZUELA,CHOPERA,19979
2014,8,ARGANZUELA,DELICIAS,26757
2014,8,ARGANZUELA,ATOCHA,1100
2014,8,ARGANZUELA,ACACIAS,36705
2014,8,ARGANZUELA,IMPERIAL,22639
2014,8,ARGANZUELA,LEGAZPI,17819
2014,8,ARGANZUELA,PALOS DE MOGUER,25764
2014,9,ARGANZUELA,ATOCHA,1097
2014,9,ARGANZUELA,LEGAZPI,17861
2014,9,ARGANZUELA,DELICIAS,26817
2014,9,ARGANZUELA,CHOPERA,20058
2014,9,ARGANZUELA,ACACIAS,36743
2014,9,ARGANZUELA,IMPERIAL,22670
2014,9,ARGANZUELA,PALOS DE MOGUER,25837
2014,10,ARGANZUELA,ACACIAS,36716
2014,10,ARGANZUELA,ATOCHA,1099
2014,10,ARGANZUELA,CHOPERA,20030
2014,10,ARGANZUELA,DELICIAS,26765
2014,10,ARGANZUELA,IMPERIAL,22690
2014,10,ARGANZUELA,PALOS DE MOGUER,25834
2014,10,ARGANZUELA,LEGAZPI,17870
2014,11,ARGANZUELA,DELICIAS,26801
2014,11,ARGANZUELA,IMPERIAL,22737
2014,11,ARGANZUELA,PALOS DE MOGUER,25842
2014,11,ARGANZUELA,CHOPERA,20066
2014,11,ARGANZUELA,LEGAZPI,17921
2014,11,ARGANZUELA,ACACIAS,36773
2014,11,ARGANZUELA,ATOCHA,1102
2014,12,ARGANZUELA,CHOPERA,19909
2014,12,ARGANZUELA,LEGAZPI,17894
2014,12,ARGANZUELA,PALOS DE MOGUER,25637
2014,12,ARGANZUELA,ACACIAS,36617
2014,12,ARGANZUELA,DELICIAS,26647
2014,12,ARGANZUELA,IMPERIAL,22662
2014,12,ARGANZUELA,ATOCHA,1093
2014,1,BARAJAS,ALAMEDA DE OSUNA,19636
2014,1,BARAJAS,CORRALEJOS,7192
2014,1,BARAJAS,TIMON,9567
2014,1,BARAJAS,CASCO H.BARAJAS,7371
2014,1,BARAJAS,AEROPUERTO,1873
2014,2,BARAJAS,TIMON,9581
2014,2,BARAJAS,ALAMEDA DE OSUNA,19608
2014,2,BARAJAS,AEROPUERTO,1875
2014,2,BARAJAS,CORRALEJOS,7210
2014,2,BARAJAS,CASCO H.BARAJAS,7337
2014,3,BARAJAS,AEROPUERTO,1880
2014,3,BARAJAS,CORRALEJOS,7202
2014,3,BARAJAS,ALAMEDA DE OSUNA,19656
2014,3,BARAJAS,TIMON,9647
2014,3,BARAJAS,CASCO H.BARAJAS,7331
2014,4,BARAJAS,CORRALEJOS,7194
2014,4,BARAJAS,AEROPUERTO,1860
2014,4,BARAJAS,ALAMEDA DE OSUNA,19634
2014,4,BARAJAS,CASCO H.BARAJAS,7292
2014,4,BARAJAS,TIMON,9745
2014,5,BARAJAS,TIMON,9781
2014,5,BARAJAS,CORRALEJOS,7203
2014,5,BARAJAS,AEROPUERTO,1854
2014,5,BARAJAS,ALAMEDA DE OSUNA,19620
2014,5,BARAJAS,CASCO H.BARAJAS,7299
2014,6,BARAJAS,CORRALEJOS,7194
2014,6,BARAJAS,ALAMEDA DE OSUNA,19611
2014,6,BARAJAS,TIMON,9826
2014,6,BARAJAS,AEROPUERTO,1833
2014,6,BARAJAS,CASCO H.BARAJAS,7275
2014,7,BARAJAS,CASCO H.BARAJAS,7250
2014,7,BARAJAS,ALAMEDA DE OSUNA,19590
2014,7,BARAJAS,CORRALEJOS,7207
2014,7,BARAJAS,TIMON,9842
2014,7,BARAJAS,AEROPUERTO,1819
2014,8,BARAJAS,TIMON,9877
2014,8,BARAJAS,ALAMEDA DE OSUNA,19564
2014,8,BARAJAS,CORRALEJOS,7223
2014,8,BARAJAS,AEROPUERTO,1811
2014,8,BARAJAS,CASCO H.BARAJAS,7263
2014,9,BARAJAS,CASCO H.BARAJAS,7269
2014,9,BARAJAS,AEROPUERTO,1801
2014,9,BARAJAS,ALAMEDA DE OSUNA,19591
2014,9,BARAJAS,TIMON,9960
2014,9,BARAJAS,CORRALEJOS,7244
2014,10,BARAJAS,CASCO H.BARAJAS,7264
2014,10,BARAJAS,ALAMEDA DE OSUNA,19576
2014,10,BARAJAS,TIMON,9976
2014,10,BARAJAS,AEROPUERTO,1783
2014,10,BARAJAS,CORRALEJOS,7234
2014,11,BARAJAS,CASCO H.BARAJAS,7297
2014,11,BARAJAS,TIMON,10028
2014,11,BARAJAS,AEROPUERTO,1792
2014,11,BARAJAS,CORRALEJOS,7266
2014,11,BARAJAS,ALAMEDA DE OSUNA,19549
2014,12,BARAJAS,ALAMEDA DE OSUNA,19476
2014,12,BARAJAS,CORRALEJOS,7222
2014,12,BARAJAS,CASCO H.BARAJAS,7270
2014,12,BARAJAS,TIMON,10045
2014,12,BARAJAS,AEROPUERTO,1779
2014,1,CARABANCHEL,PUERTA BONITA,32922
2014,1,CARABANCHEL,OPAÑEL,31758
2014,1,CARABANCHEL,SAN ISIDRO,38088
2014,1,CARABANCHEL,BUENAVISTA,43954
2014,1,CARABANCHEL,VISTA ALEGRE,44396
2014,1,CARABANCHEL,ABRANTES,29191
2014,1,CARABANCHEL,COMILLAS,22399
2014,2,CARABANCHEL,ABRANTES,29293
2014,2,CARABANCHEL,VISTA ALEGRE,44373
2014,2,CARABANCHEL,OPAÑEL,31716
2014,2,CARABANCHEL,COMILLAS,22363
2014,2,CARABANCHEL,SAN ISIDRO,38111
2014,2,CARABANCHEL,PUERTA BONITA,32883
2014,2,CARABANCHEL,BUENAVISTA,44000
2014,3,CARABANCHEL,BUENAVISTA,44077
2014,3,CARABANCHEL,ABRANTES,29344
2014,3,CARABANCHEL,SAN ISIDRO,38173
2014,3,CARABANCHEL,VISTA ALEGRE,44407
2014,3,CARABANCHEL,OPAÑEL,31776
2014,3,CARABANCHEL,COMILLAS,22367
2014,3,CARABANCHEL,PUERTA BONITA,32984
2014,4,CARABANCHEL,ABRANTES,29272
2014,4,CARABANCHEL,COMILLAS,22355
2014,4,CARABANCHEL,SAN ISIDRO,38088
2014,4,CARABANCHEL,OPAÑEL,31698
2014,4,CARABANCHEL,BUENAVISTA,44030
2014,4,CARABANCHEL,PUERTA BONITA,32979
2014,4,CARABANCHEL,VISTA ALEGRE,44273
2014,5,CARABANCHEL,PUERTA BONITA,32941
2014,5,CARABANCHEL,OPAÑEL,31673
2014,5,CARABANCHEL,VISTA ALEGRE,44200
2014,5,CARABANCHEL,COMILLAS,22382
2014,5,CARABANCHEL,SAN ISIDRO,38050
2014,5,CARABANCHEL,BUENAVISTA,44037
2014,5,CARABANCHEL,ABRANTES,29277
2014,6,CARABANCHEL,SAN ISIDRO,38009
2014,6,CARABANCHEL,BUENAVISTA,44015
2014,6,CARABANCHEL,PUERTA BONITA,32887
2014,6,CARABANCHEL,ABRANTES,29255
2014,6,CARABANCHEL,VISTA ALEGRE,44110
2014,6,CARABANCHEL,OPAÑEL,31646
2014,6,CARABANCHEL,COMILLAS,22433
2014,7,CARABANCHEL,VISTA ALEGRE,43975
2014,7,CARABANCHEL,PUERTA BONITA,32749
2014,7,CARABANCHEL,OPAÑEL,31596
2014,7,CARABANCHEL,BUENAVISTA,43867
2014,7,CARABANCHEL,SAN ISIDRO,37951
2014,7,CARABANCHEL,COMILLAS,22370
2014,7,CARABANCHEL,ABRANTES,29210
2014,8,CARABANCHEL,OPAÑEL,31586
2014,8,CARABANCHEL,BUENAVISTA,43884
2014,8,CARABANCHEL,PUERTA BONITA,32802
2014,8,CARABANCHEL,SAN ISIDRO,37986
2014,8,CARABANCHEL,ABRANTES,29163
2014,8,CARABANCHEL,VISTA ALEGRE,43990
2014,8,CARABANCHEL,COMILLAS,22356
2014,9,CARABANCHEL,OPAÑEL,31675
2014,9,CARABANCHEL,VISTA ALEGRE,44097
2014,9,CARABANCHEL,SAN ISIDRO,37988
2014,9,CARABANCHEL,COMILLAS,22413
2014,9,CARABANCHEL,PUERTA BONITA,32830
2014,9,CARABANCHEL,BUENAVISTA,43987
2014,9,CARABANCHEL,ABRANTES,29230
2014,10,CARABANCHEL,BUENAVISTA,43862
2014,10,CARABANCHEL,PUERTA BONITA,32718
2014,10,CARABANCHEL,ABRANTES,29143
2014,10,CARABANCHEL,COMILLAS,22350
2014,10,CARABANCHEL,SAN ISIDRO,37916
2014,10,CARABANCHEL,OPAÑEL,31621
2014,10,CARABANCHEL,VISTA ALEGRE,43972
2014,11,CARABANCHEL,BUENAVISTA,43886
2014,11,CARABANCHEL,PUERTA BONITA,32789
2014,11,CARABANCHEL,SAN ISIDRO,37992
2014,11,CARABANCHEL,OPAÑEL,31695
2014,11,CARABANCHEL,COMILLAS,22412
2014,11,CARABANCHEL,VISTA ALEGRE,44077
2014,11,CARABANCHEL,ABRANTES,29181
2014,12,CARABANCHEL,BUENAVISTA,43734
2014,12,CARABANCHEL,COMILLAS,22244
2014,12,CARABANCHEL,PUERTA BONITA,32552
2014,12,CARABANCHEL,OPAÑEL,31502
2014,12,CARABANCHEL,VISTA ALEGRE,43959
2014,12,CARABANCHEL,SAN ISIDRO,37790
2014,12,CARABANCHEL,ABRANTES,29064
2014,1,CENTRO,PALACIO,22383
2014,1,CENTRO,JUSTICIA,16661
2014,1,CENTRO,SOL,7504
2014,1,CENTRO,CORTES,10721
2014,1,CENTRO,EMBAJADORES,45651
2014,1,CENTRO,UNIVERSIDAD,31395
2014,2,CENTRO,JUSTICIA,16666
2014,2,CENTRO,CORTES,10711
2014,2,CENTRO,UNIVERSIDAD,31226
2014,2,CENTRO,SOL,7491
2014,2,CENTRO,EMBAJADORES,45521
2014,2,CENTRO,PALACIO,22345
2014,3,CENTRO,JUSTICIA,16666
2014,3,CENTRO,CORTES,10732
2014,3,CENTRO,PALACIO,22369
2014,3,CENTRO,UNIVERSIDAD,31288
2014,3,CENTRO,SOL,7489
2014,3,CENTRO,EMBAJADORES,45648
2014,4,CENTRO,EMBAJADORES,45346
2014,4,CENTRO,PALACIO,22215
2014,4,CENTRO,UNIVERSIDAD,31119
2014,4,CENTRO,CORTES,10664
2014,4,CENTRO,SOL,7404
2014,4,CENTRO,JUSTICIA,16578
2014,5,CENTRO,SOL,7379
2014,5,CENTRO,UNIVERSIDAD,30973
2014,5,CENTRO,JUSTICIA,16493
2014,5,CENTRO,EMBAJADORES,45086
2014,5,CENTRO,PALACIO,22142
2014,5,CENTRO,CORTES,10608
2014,6,CENTRO,SOL,7367
2014,6,CENTRO,CORTES,10591
2014,6,CENTRO,PALACIO,22137
2014,6,CENTRO,JUSTICIA,16388
2014,6,CENTRO,UNIVERSIDAD,30883
2014,6,CENTRO,EMBAJADORES,44987
2014,7,CENTRO,UNIVERSIDAD,30803
2014,7,CENTRO,JUSTICIA,16335
2014,7,CENTRO,EMBAJADORES,44713
2014,7,CENTRO,SOL,7352
2014,7,CENTRO,CORTES,10546
2014,7,CENTRO,PALACIO,22089
2014,8,CENTRO,UNIVERSIDAD,30857
2014,8,CENTRO,JUSTICIA,16303
2014,8,CENTRO,EMBAJADORES,44747
2014,8,CENTRO,CORTES,10560
2014,8,CENTRO,PALACIO,22129
2014,8,CENTRO,SOL,7340
2014,9,CENTRO,PALACIO,22228
2014,9,CENTRO,UNIVERSIDAD,30982
2014,9,CENTRO,CORTES,10594
