year;townId;name;value
2015;1; La Acebeda;65
2015;2;Ajalvir;4343
2015;3;Alameda del Valle;217
2015;4; El Álamo;8965
2015;5;Alcalá de Henares;198750
2015;6;Alcobendas;113055
2015;7;Alcorcón;167136
2015;8;Aldea del Fresno;2535
2015;9;Algete;20148
2015;10;Alpedrete;14248
2015;11;Ambite;618
2015;12;Anchuelo;1200
2015;13;Aranjuez;58168
2015;14;Arganda del Rey;54533
2015;15;Arroyomolinos;26846
2015;16; El Atazar;96
2015;17;Batres;1568
2015;18;Becerril de la Sierra;5396
2015;19;Belmonte de Tajo;1625
2015;21; El Berrueco;618
2015;20;Berzosa del Lozoya;202
2015;22;Boadilla del Monte;48775
2015;23; El Boalo;7157
2015;24;Braojos;203
2015;25;Brea de Tajo;560
2015;26;Brunete;10398
2015;27;Buitrago del Lozoya;1865
2015;28;Bustarviejo;2367
2015;29;Cabanillas de la Sierra;733
2015;30; La Cabrera;2574
2015;31;Cadalso de los Vidrios;2767
2015;32;Camarma de Esteruelas;7134
2015;33;Campo Real;5854
2015;34;Canencia;464
2015;35;Carabaña;2017
2015;36;Casarrubuelos;3548
2015;37;Cenicientos;2035
2015;38;Cercedilla;6781
2015;39;Cervera de Buitrago;164
2015;51;Chapinería;2158
2015;52;Chinchón;5436
2015;40;Ciempozuelos;23696
2015;41;Cobeña;6983
2015;46;Collado Mediano;6599
2015;47;Collado Villalba;62056
2015;43;Colmenar de Oreja;8071
2015;42;Colmenar del Arroyo;1611
2015;45;Colmenar Viejo;47601
2015;44;Colmenarejo;8934
2015;48;Corpa;669
2015;49;Coslada;86919
2015;50;Cubas de la Sagra;5875
2015;53;Daganzo de Arriba;9919
2015;54; El Escorial;15342
2015;55;Estremera;1350
2015;56;Fresnedillas de la Oliva;1554
2015;57;Fresno de Torote;2041
2015;58;Fuenlabrada;195180
2015;59;Fuente el Saz de Jarama;6440
2015;60;Fuentidueña de Tajo;1954
2015;61;Galapagar;32294
2015;62;Garganta de los Montes;367
2015;63;Gargantilla del Lozoya y Pinilla de Buitrago;351
2015;64;Gascones;176
2015;65;Getafe;174921
2015;66;Griñón;9918
2015;67;Guadalix de la Sierra;6039
2015;68;Guadarrama;15538
2015;69; La Hiruela;54
2015;70;Horcajo de la Sierra-Aoslos;159
2015;71;Horcajuelo de la Sierra;88
2015;72;Hoyo de Manzanares;7880
2015;73;Humanes de Madrid;19413
2015;74;Leganés;186907
2015;75;Loeches;8212
2015;76;Lozoya;594
2015;901;Lozoyuela-Navas-Sieteiglesias;1203
2015;78;Madarcos;45
2015;79;Madrid;3141991
2015;80;Majadahonda;70800
2015;82;Manzanares el Real;8309
2015;83;Meco;13269
2015;84;Mejorada del Campo;22902
