year;month;districtId;district;neighborhoodId;neighborhood;value
2012;1;2;ARGANZUELA;2004;LEGAZPI;17152
2012;1;2;ARGANZUELA;2006;PALOS DE MOGUER;27383
2012;1;2;ARGANZUELA;2007;ATOCHA;1020
2012;1;2;ARGANZUELA;2002;ACACIAS;37607
2012;1;2;ARGANZUELA;2005;DELICIAS;27539
2012;1;2;ARGANZUELA;2001;IMPERIAL;23257
2012;1;2;ARGANZUELA;2003;CHOPERA;20841
2012;2;2;ARGANZUELA;2002;ACACIAS;37659
2012;2;2;ARGANZUELA;2005;DELICIAS;27613
2012;2;2;ARGANZUELA;2003;CHOPERA;20868
2012;2;2;ARGANZUELA;2004;LEGAZPI;17190
2012;2;2;ARGANZUELA;2001;IMPERIAL;23303
2012;2;2;ARGANZUELA;2007;ATOCHA;1039
2012;2;2;ARGANZUELA;2006;PALOS DE MOGUER;27380
2012;3;2;ARGANZUELA;2001;IMPERIAL;23329
2012;3;2;ARGANZUELA;2005;DELICIAS;27647
2012;3;2;ARGANZUELA;2003;CHOPERA;20891
2012;3;2;ARGANZUELA;2006;PALOS DE MOGUER;27279
2012;3;2;ARGANZUELA;2007;ATOCHA;1053
2012;3;2;ARGANZUELA;2004;LEGAZPI;17255
2012;3;2;ARGANZUELA;2002;ACACIAS;37649
2012;4;2;ARGANZUELA;2005;DELICIAS;27676
2012;4;2;ARGANZUELA;2006;PALOS DE MOGUER;27342
2012;4;2;ARGANZUELA;2007;ATOCHA;1057
2012;4;2;ARGANZUELA;2003;CHOPERA;20869
2012;4;2;ARGANZUELA;2002;ACACIAS;37649
2012;4;2;ARGANZUELA;2004;LEGAZPI;17327
2012;4;2;ARGANZUELA;2001;IMPERIAL;23385
2012;5;2;ARGANZUELA;2001;IMPERIAL;23329
2012;5;2;ARGANZUELA;2007;ATOCHA;1055
2012;5;2;ARGANZUELA;2002;ACACIAS;37545
2012;5;2;ARGANZUELA;2006;PALOS DE MOGUER;27244
2012;5;2;ARGANZUELA;2005;DELICIAS;27538
2012;5;2;ARGANZUELA;2004;LEGAZPI;17326
2012;5;2;ARGANZUELA;2003;CHOPERA;20866
2012;6;2;ARGANZUELA;2002;ACACIAS;37520
2012;6;2;ARGANZUELA;2003;CHOPERA;20824
