year,month,district,zone,value
2017,1,ARGANZUELA,ATOCHA,1117
2017,1,ARGANZUELA,CHOPERA,19817
2017,1,ARGANZUELA,IMPERIAL,22698
2017,1,ARGANZUELA,DELICIAS,27346
2017,1,ARGANZUELA,PALOS DE MOGUER,25660
2017,1,ARGANZUELA,LEGAZPI,18990
2017,1,ARGANZUELA,ACACIAS,36723
2017,2,ARGANZUELA,ATOCHA,1129
2017,2,ARGANZUELA,CHOPERA,19845
2017,2,ARGANZUELA,LEGAZPI,19012
2017,2,ARGANZUELA,PALOS DE MOGUER,25710
2017,2,ARGANZUELA,ACACIAS,36797
2017,2,ARGANZUELA,IMPERIAL,22753
2017,2,ARGANZUELA,DELICIAS,27394
2017,3,ARGANZUELA,ATOCHA,1129
2017,3,ARGANZUELA,IMPERIAL,22698
2017,3,ARGANZUELA,CHOPERA,19774
2017,3,ARGANZUELA,ACACIAS,36683
2017,3,ARGANZUELA,PALOS DE MOGUER,25607
2017,3,ARGANZUELA,LEGAZPI,18953
2017,3,ARGANZUELA,DELICIAS,27325
2017,4,ARGANZUELA,CHOPERA,19743
2017,4,ARGANZUELA,DELICIAS,27390
2017,4,ARGANZUELA,LEGAZPI,18970
2017,4,ARGANZUELA,ACACIAS,36651
2017,4,ARGANZUELA,ATOCHA,1143
2017,4,ARGANZUELA,PALOS DE MOGUER,25566
2017,4,ARGANZUELA,IMPERIAL,22727
2017,5,ARGANZUELA,DELICIAS,27441
2017,5,ARGANZUELA,LEGAZPI,19039
2017,5,ARGANZUELA,PALOS DE MOGUER,25635
2017,5,ARGANZUELA,ACACIAS,36670
2017,5,ARGANZUELA,ATOCHA,1145
2017,5,ARGANZUELA,IMPERIAL,22752
2017,5,ARGANZUELA,CHOPERA,19751
2017,6,ARGANZUELA,PALOS DE MOGUER,25665
2017,6,ARGANZUELA,ATOCHA,1148
2017,6,ARGANZUELA,IMPERIAL,22775
2017,6,ARGANZUELA,LEGAZPI,19064
2017,6,ARGANZUELA,DELICIAS,27425
2017,6,ARGANZUELA,ACACIAS,36691
2017,6,ARGANZUELA,CHOPERA,19815
2017,7,ARGANZUELA,ACACIAS,36724
2017,7,ARGANZUELA,ATOCHA,1151
2017,7,ARGANZUELA,IMPERIAL,22742
2017,7,ARGANZUELA,LEGAZPI,19079
2017,7,ARGANZUELA,DELICIAS,27387
2017,7,ARGANZUELA,PALOS DE MOGUER,25657
2017,7,ARGANZUELA,CHOPERA,19795
2017,8,ARGANZUELA,IMPERIAL,22756
2017,8,ARGANZUELA,ATOCHA,1158
2017,8,ARGANZUELA,LEGAZPI,19099
2017,8,ARGANZUELA,DELICIAS,27343
2017,8,ARGANZUELA,ACACIAS,36679
2017,8,ARGANZUELA,PALOS DE MOGUER,25668
2017,8,ARGANZUELA,CHOPERA,19783
2017,9,ARGANZUELA,PALOS DE MOGUER,25761
2017,9,ARGANZUELA,IMPERIAL,22750
2017,9,ARGANZUELA,LEGAZPI,19143
2017,9,ARGANZUELA,CHOPERA,19771
