year;month;districtId;district;neighborhoodId;neighborhood;value
2017;1;2;ARGANZUELA;2006;PALOS DE MOGUER;25660
2017;1;2;ARGANZUELA;2007;ATOCHA;1117
2017;1;2;ARGANZUELA;2001;IMPERIAL;22698
2017;1;2;ARGANZUELA;2005;DELICIAS;27346
2017;1;2;ARGANZUELA;2002;ACACIAS;36723
2017;1;2;ARGANZUELA;2004;LEGAZPI;18990
2017;1;2;ARGANZUELA;2003;CHOPERA;19817
2017;2;2;ARGANZUELA;2001;IMPERIAL;22753
2017;2;2;ARGANZUELA;2005;DELICIAS;27394
2017;2;2;ARGANZUELA;2002;ACACIAS;36797
2017;2;2;ARGANZUELA;2006;PALOS DE MOGUER;25710
2017;2;2;ARGANZUELA;2003;CHOPERA;19845
2017;2;2;ARGANZUELA;2007;ATOCHA;1129
2017;2;2;ARGANZUELA;2004;LEGAZPI;19012
2017;3;2;ARGANZUELA;2006;PALOS DE MOGUER;25607
2017;3;2;ARGANZUELA;2005;DELICIAS;27325
2017;3;2;ARGANZUELA;2003;CHOPERA;19774
2017;3;2;ARGANZUELA;2004;LEGAZPI;18953
2017;3;2;ARGANZUELA;2002;ACACIAS;36683
2017;3;2;ARGANZUELA;2007;ATOCHA;1129
2017;3;2;ARGANZUELA;2001;IMPERIAL;22698
2017;4;2;ARGANZUELA;2004;LEGAZPI;18970
2017;4;2;ARGANZUELA;2007;ATOCHA;1143
2017;4;2;ARGANZUELA;2005;DELICIAS;27390
2017;4;2;ARGANZUELA;2002;ACACIAS;36651
2017;4;2;ARGANZUELA;2003;CHOPERA;19743
2017;4;2;ARGANZUELA;2001;IMPERIAL;22727
2017;4;2;ARGANZUELA;2006;PALOS DE MOGUER;25566
2017;5;2;ARGANZUELA;2005;DELICIAS;27441
2017;5;2;ARGANZUELA;2007;ATOCHA;1145
2017;5;2;ARGANZUELA;2001;IMPERIAL;22752
2017;5;2;ARGANZUELA;2004;LEGAZPI;19039
2017;5;2;ARGANZUELA;2003;CHOPERA;19751
2017;5;2;ARGANZUELA;2002;ACACIAS;36670
2017;5;2;ARGANZUELA;2006;PALOS DE MOGUER;25635
2017;6;2;ARGANZUELA;2004;LEGAZPI;19064
2017;6;2;ARGANZUELA;2001;IMPERIAL;22775
2017;6;2;ARGANZUELA;2003;CHOPERA;19815
2017;6;2;ARGANZUELA;2005;DELICIAS;27425
2017;6;2;ARGANZUELA;2007;ATOCHA;1148
2017;6;2;ARGANZUELA;2006;PALOS DE MOGUER;25665
2017;6;2;ARGANZUELA;2002;ACACIAS;36691
2017;7;2;ARGANZUELA;2002;ACACIAS;36724
2017;7;2;ARGANZUELA;2007;ATOCHA;1151
2017;7;2;ARGANZUELA;2001;IMPERIAL;22742
2017;7;2;ARGANZUELA;2003;CHOPERA;19795
2017;7;2;ARGANZUELA;2004;LEGAZPI;19079
2017;7;2;ARGANZUELA;2006;PALOS DE MOGUER;25657
2017;7;2;ARGANZUELA;2005;DELICIAS;27387
2017;8;2;ARGANZUELA;2006;PALOS DE MOGUER;25668
2017;8;2;ARGANZUELA;2003;CHOPERA;19783
2017;8;2;ARGANZUELA;2001;IMPERIAL;22756
2017;8;2;ARGANZUELA;2007;ATOCHA;1158
2017;8;2;ARGANZUELA;2002;ACACIAS;36679
2017;8;2;ARGANZUELA;2005;DELICIAS;27343
2017;8;2;ARGANZUELA;2004;LEGAZPI;19099
2017;9;2;ARGANZUELA;2003;CHOPERA;19771
2017;9;2;ARGANZUELA;2005;DELICIAS;27392
