year,month,district,zone,value
2020,1,ARGANZUELA,ATOCHA,1297
2020,1,ARGANZUELA,PALOS DE MOGUER,26344
2020,1,ARGANZUELA,LEGAZPI,19820
2020,1,ARGANZUELA,ACACIAS,37049
2020,1,ARGANZUELA,DELICIAS,28379
2020,1,ARGANZUELA,IMPERIAL,22982
2020,1,ARGANZUELA,CHOPERA,20356
2020,2,ARGANZUELA,IMPERIAL,22975
2020,2,ARGANZUELA,CHOPERA,20380
2020,2,ARGANZUELA,ATOCHA,1329
2020,2,ARGANZUELA,ACACIAS,37080
2020,2,ARGANZUELA,DELICIAS,28463
2020,2,ARGANZUELA,LEGAZPI,19873
2020,2,ARGANZUELA,PALOS DE MOGUER,26355
2020,3,ARGANZUELA,PALOS DE MOGUER,26366
2020,3,ARGANZUELA,LEGAZPI,19846
2020,3,ARGANZUELA,CHOPERA,20354
2020,3,ARGANZUELA,ACACIAS,37049
2020,3,ARGANZUELA,IMPERIAL,22991
2020,3,ARGANZUELA,ATOCHA,1335
2020,3,ARGANZUELA,DELICIAS,28471
2020,4,ARGANZUELA,ATOCHA,1342
2020,4,ARGANZUELA,IMPERIAL,22955
2020,4,ARGANZUELA,DELICIAS,28473
2020,4,ARGANZUELA,PALOS DE MOGUER,26326
2020,4,ARGANZUELA,ACACIAS,37014
2020,4,ARGANZUELA,LEGAZPI,19861
2020,4,ARGANZUELA,CHOPERA,20333
2020,5,ARGANZUELA,DELICIAS,28548
2020,5,ARGANZUELA,ATOCHA,1355
2020,5,ARGANZUELA,ACACIAS,37030
2020,5,ARGANZUELA,PALOS DE MOGUER,26369
2020,5,ARGANZUELA,CHOPERA,20373
2020,5,ARGANZUELA,IMPERIAL,22971
2020,5,ARGANZUELA,LEGAZPI,19843
2020,6,ARGANZUELA,ATOCHA,1375
2020,6,ARGANZUELA,PALOS DE MOGUER,26251
2020,6,ARGANZUELA,IMPERIAL,22891
2020,6,ARGANZUELA,LEGAZPI,19821
2020,6,ARGANZUELA,DELICIAS,28501
2020,6,ARGANZUELA,CHOPERA,20281
2020,6,ARGANZUELA,ACACIAS,36885
2020,7,ARGANZUELA,DELICIAS,28479
2020,7,ARGANZUELA,ATOCHA,1386
2020,7,ARGANZUELA,IMPERIAL,22813
2020,7,ARGANZUELA,CHOPERA,20254
2020,7,ARGANZUELA,LEGAZPI,19795
2020,7,ARGANZUELA,ACACIAS,36717
2020,7,ARGANZUELA,PALOS DE MOGUER,26200
2020,8,ARGANZUELA,PALOS DE MOGUER,26111
2020,8,ARGANZUELA,CHOPERA,20253
2020,8,ARGANZUELA,LEGAZPI,19771
2020,8,ARGANZUELA,IMPERIAL,22784
2020,8,ARGANZUELA,ATOCHA,1404
2020,8,ARGANZUELA,DELICIAS,28520
2020,8,ARGANZUELA,ACACIAS,36661
2020,9,ARGANZUELA,LEGAZPI,19762
2020,9,ARGANZUELA,CHOPERA,20221
2020,9,ARGANZUELA,ATOCHA,1427
2020,9,ARGANZUELA,ACACIAS,36686
2020,9,ARGANZUELA,DELICIAS,28564
2020,9,ARGANZUELA,PALOS DE MOGUER,26037
2020,9,ARGANZUELA,IMPERIAL,22796
2020,10,ARGANZUELA,IMPERIAL,22788
2020,10,ARGANZUELA,ATOCHA,1439
2020,10,ARGANZUELA,ACACIAS,36690
2020,10,ARGANZUELA,PALOS DE MOGUER,26021
2020,10,ARGANZUELA,LEGAZPI,19753
2020,10,ARGANZUELA,DELICIAS,28608
2020,10,ARGANZUELA,CHOPERA,20241
2020,11,ARGANZUELA,IMPERIAL,22739
2020,11,ARGANZUELA,ACACIAS,36607
2020,11,ARGANZUELA,ATOCHA,1445
2020,11,ARGANZUELA,LEGAZPI,19702
2020,11,ARGANZUELA,PALOS DE MOGUER,26004
2020,11,ARGANZUELA,CHOPERA,20208
2020,11,ARGANZUELA,DELICIAS,28578
2020,12,ARGANZUELA,PALOS DE MOGUER,25931
2020,12,ARGANZUELA,ATOCHA,1450
2020,12,ARGANZUELA,DELICIAS,28518
2020,12,ARGANZUELA,LEGAZPI,19660
2020,12,ARGANZUELA,IMPERIAL,22702
2020,12,ARGANZUELA,ACACIAS,36544
2020,12,ARGANZUELA,CHOPERA,20187
2020,1,BARAJAS,AEROPUERTO,1911
2020,1,BARAJAS,CORRALEJOS,7808
2020,1,BARAJAS,TIMON,12942
2020,1,BARAJAS,ALAMEDA DE OSUNA,19873
2020,1,BARAJAS,CASCO H.BARAJAS,7735
2020,2,BARAJAS,CORRALEJOS,7793
2020,2,BARAJAS,TIMON,12990
2020,2,BARAJAS,ALAMEDA DE OSUNA,19856
2020,2,BARAJAS,AEROPUERTO,1933
2020,2,BARAJAS,CASCO H.BARAJAS,7723
2020,3,BARAJAS,TIMON,13027
2020,3,BARAJAS,CASCO H.BARAJAS,7695
2020,3,BARAJAS,CORRALEJOS,7791
2020,3,BARAJAS,AEROPUERTO,1933
2020,3,BARAJAS,ALAMEDA DE OSUNA,19840
2020,4,BARAJAS,CASCO H.BARAJAS,7677
2020,4,BARAJAS,AEROPUERTO,1917
2020,4,BARAJAS,ALAMEDA DE OSUNA,19846
2020,4,BARAJAS,CORRALEJOS,7801
2020,4,BARAJAS,TIMON,13046
2020,5,BARAJAS,CORRALEJOS,7813
2020,5,BARAJAS,ALAMEDA DE OSUNA,19855
2020,5,BARAJAS,AEROPUERTO,1927
2020,5,BARAJAS,TIMON,13081
2020,5,BARAJAS,CASCO H.BARAJAS,7669
2020,6,BARAJAS,TIMON,13111
