year,month,district,zone,value
2003,10,ARGANZUELA,ATOCHA,1148
2003,10,ARGANZUELA,IMPERIAL,22877
2003,10,ARGANZUELA,ACACIAS,37851
2003,10,ARGANZUELA,CHOPERA,22950
2003,10,ARGANZUELA,PALOS DE MOGUER,28246
2003,10,ARGANZUELA,LEGAZPI,8711
2003,10,ARGANZUELA,DELICIAS,25111
2003,11,ARGANZUELA,PALOS DE MOGUER,28228
2003,11,ARGANZUELA,DELICIAS,25141
2003,11,ARGANZUELA,ATOCHA,1149
2003,11,ARGANZUELA,LEGAZPI,8764
2003,11,ARGANZUELA,CHOPERA,22914
2003,11,ARGANZUELA,IMPERIAL,22898
2003,11,ARGANZUELA,ACACIAS,37867
2003,12,ARGANZUELA,IMPERIAL,22936
2003,12,ARGANZUELA,DELICIAS,25156
2003,12,ARGANZUELA,ATOCHA,1145
2003,12,ARGANZUELA,CHOPERA,22920
2003,12,ARGANZUELA,PALOS DE MOGUER,28285
2003,12,ARGANZUELA,ACACIAS,37886
2003,12,ARGANZUELA,LEGAZPI,8839
2003,10,BARAJAS,AEROPUERTO,2412
2003,10,BARAJAS,ALAMEDA DE OSUNA,19747
2003,10,BARAJAS,TIMON,7316
2003,10,BARAJAS,CORRALEJOS,4130
2003,10,BARAJAS,CASCO H.BARAJAS,7766
2003,11,BARAJAS,TIMON,7311
2003,11,BARAJAS,AEROPUERTO,2423
2003,11,BARAJAS,CASCO H.BARAJAS,7772
2003,11,BARAJAS,ALAMEDA DE OSUNA,19757
2003,11,BARAJAS,CORRALEJOS,4186
2003,12,BARAJAS,AEROPUERTO,2390
2003,12,BARAJAS,CASCO H.BARAJAS,7775
2003,12,BARAJAS,TIMON,7306
2003,12,BARAJAS,CORRALEJOS,4240
2003,12,BARAJAS,ALAMEDA DE OSUNA,19790
2003,10,CARABANCHEL,VISTA ALEGRE,49003
2003,10,CARABANCHEL,BUENAVISTA,25939
2003,10,CARABANCHEL,SAN ISIDRO,41485
2003,10,CARABANCHEL,OPAÑEL,34052
2003,10,CARABANCHEL,PUERTA BONITA,34573
2003,10,CARABANCHEL,COMILLAS,25485
2003,10,CARABANCHEL,ABRANTES,28674
2003,11,CARABANCHEL,OPAÑEL,34078
2003,11,CARABANCHEL,PUERTA BONITA,34587
2003,11,CARABANCHEL,BUENAVISTA,25974
2003,11,CARABANCHEL,SAN ISIDRO,40475
2003,11,CARABANCHEL,ABRANTES,28793
2003,11,CARABANCHEL,VISTA ALEGRE,49069
2003,11,CARABANCHEL,COMILLAS,25529
2003,12,CARABANCHEL,OPAÑEL,34120
2003,12,CARABANCHEL,VISTA ALEGRE,49105
2003,12,CARABANCHEL,SAN ISIDRO,40450
2003,12,CARABANCHEL,PUERTA BONITA,34662
2003,12,CARABANCHEL,ABRANTES,28934
2003,12,CARABANCHEL,BUENAVISTA,25911
2003,12,CARABANCHEL,COMILLAS,25474
2003,10,CENTRO,UNIVERSIDAD,36071
2003,10,CENTRO,CORTES,11718
2003,10,CENTRO,SOL,9101
2003,10,CENTRO,EMBAJADORES,50890
2003,10,CENTRO,JUSTICIA,18052
2003,10,CENTRO,PALACIO,25416
2003,11,CENTRO,UNIVERSIDAD,36112
2003,11,CENTRO,SOL,9131
2003,11,CENTRO,PALACIO,25455
2003,11,CENTRO,CORTES,11728
2003,11,CENTRO,JUSTICIA,18110
2003,11,CENTRO,EMBAJADORES,50946
2003,12,CENTRO,JUSTICIA,18139
2003,12,CENTRO,UNIVERSIDAD,36107
2003,12,CENTRO,PALACIO,25445
2003,12,CENTRO,SOL,9132
2003,12,CENTRO,EMBAJADORES,50998
2003,12,CENTRO,CORTES,11747
2003,10,CHAMARTIN,PROSPERIDAD,38163
2003,10,CHAMARTIN,CIUDAD JARDIN,19045
2003,10,CHAMARTIN,CASTILLA,17495
2003,10,CHAMARTIN,EL VISO,15504
2003,10,CHAMARTIN,HISPANOAMERICA,30611
2003,10,CHAMARTIN,NUEVA ESPAÑA,22814
2003,11,CHAMARTIN,CIUDAD JARDIN,19051
2003,11,CHAMARTIN,EL VISO,15543
2003,11,CHAMARTIN,NUEVA ESPAÑA,22786
2003,11,CHAMARTIN,HISPANOAMERICA,30605
2003,11,CHAMARTIN,PROSPERIDAD,38185
2003,11,CHAMARTIN,CASTILLA,17491
2003,12,CHAMARTIN,CASTILLA,17467
2003,12,CHAMARTIN,EL VISO,15563
2003,12,CHAMARTIN,PROSPERIDAD,38139
2003,12,CHAMARTIN,HISPANOAMERICA,30672
2003,12,CHAMARTIN,CIUDAD JARDIN,18998
2003,12,CHAMARTIN,NUEVA ESPAÑA,22812
2003,10,CHAMBERI,ALMAGRO,20813
2003,10,CHAMBERI,ARAPILES,28304
2003,10,CHAMBERI,RIOS ROSAS,28535
2003,10,CHAMBERI,TRAFALGAR,27568
2003,10,CHAMBERI,GAZTAMBIDE,26353
2003,10,CHAMBERI,VALLEHERMOSO,21295
2003,11,CHAMBERI,TRAFALGAR,27637
2003,11,CHAMBERI,VALLEHERMOSO,21315
2003,11,CHAMBERI,RIOS ROSAS,28577
2003,11,CHAMBERI,ARAPILES,28320
2003,11,CHAMBERI,GAZTAMBIDE,26384
2003,11,CHAMBERI,ALMAGRO,20859
2003,12,CHAMBERI,ARAPILES,28322
2003,12,CHAMBERI,ALMAGRO,20867
2003,12,CHAMBERI,RIOS ROSAS,28513
2003,12,CHAMBERI,TRAFALGAR,27659
2003,12,CHAMBERI,GAZTAMBIDE,26352
2003,12,CHAMBERI,VALLEHERMOSO,21293
2003,10,CIUDAD LINEAL,COLINA,6339
2003,10,CIUDAD LINEAL,QUINTANA,26428
2003,10,CIUDAD LINEAL,CONCEPCION,22482
2003,10,CIUDAD LINEAL,ATALAYA,1698
2003,10,CIUDAD LINEAL,SAN JUAN BAUTISTA,13047
2003,10,CIUDAD LINEAL,COSTILLARES,23729
2003,10,CIUDAD LINEAL,VENTAS,54194
2003,10,CIUDAD LINEAL,PUEBLO NUEVO,66240
2003,10,CIUDAD LINEAL,SAN PASCUAL,20732
2003,11,CIUDAD LINEAL,COSTILLARES,23714
2003,11,CIUDAD LINEAL,CONCEPCION,22500
2003,11,CIUDAD LINEAL,VENTAS,54239
2003,11,CIUDAD LINEAL,QUINTANA,26478
2003,11,CIUDAD LINEAL,PUEBLO NUEVO,66214
2003,11,CIUDAD LINEAL,SAN JUAN BAUTISTA,13056
2003,11,CIUDAD LINEAL,COLINA,6370
2003,11,CIUDAD LINEAL,SAN PASCUAL,20714
2003,11,CIUDAD LINEAL,ATALAYA,1702
2003,12,CIUDAD LINEAL,SAN PASCUAL,20693
2003,12,CIUDAD LINEAL,COLINA,6378
2003,12,CIUDAD LINEAL,QUINTANA,26534
2003,12,CIUDAD LINEAL,SAN JUAN BAUTISTA,13073
2003,12,CIUDAD LINEAL,ATALAYA,1704
2003,12,CIUDAD LINEAL,PUEBLO NUEVO,66212
2003,12,CIUDAD LINEAL,VENTAS,54215
2003,12,CIUDAD LINEAL,COSTILLARES,23730
2003,12,CIUDAD LINEAL,CONCEPCION,22537
