year;townId;name;value
2003;1; La Acebeda;55
2003;2;Ajalvir;2755
2003;3;Alameda del Valle;195
2003;4; El Álamo;5784
2003;5;Alcalá de Henares;188519
2003;6;Alcobendas;98417
2003;7;Alcorcón;154441
2003;8;Aldea del Fresno;1803
2003;9;Algete;16995
2003;10;Alpedrete;9627
2003;11;Ambite;323
2003;12;Anchuelo;574
2003;13;Aranjuez;41897
2003;14;Arganda del Rey;36250
2003;15;Arroyomolinos;6116
2003;16; El Atazar;101
2003;17;Batres;1244
2003;18;Becerril de la Sierra;4090
2003;19;Belmonte de Tajo;1144
2003;21; El Berrueco;463
2003;20;Berzosa del Lozoya;160
2003;22;Boadilla del Monte;30920
2003;23; El Boalo;4283
2003;24;Braojos;190
2003;25;Brea de Tajo;467
2003;26;Brunete;6984
2003;27;Buitrago del Lozoya;1697
2003;28;Bustarviejo;1649
2003;29;Cabanillas de la Sierra;540
2003;30; La Cabrera;2011
2003;31;Cadalso de los Vidrios;2451
2003;32;Camarma de Esteruelas;3579
2003;33;Campo Real;3310
2003;34;Canencia;482
2003;35;Carabaña;1325
2003;36;Casarrubuelos;1460
2003;37;Cenicientos;1859
2003;38;Cercedilla;6297
2003;39;Cervera de Buitrago;129
2003;51;Chapinería;1620
2003;52;Chinchón;4576
2003;40;Ciempozuelos;16058
2003;41;Cobeña;3599
2003;46;Collado Mediano;5317
2003;47;Collado Villalba;50634
2003;43;Colmenar de Oreja;6257
2003;42;Colmenar del Arroyo;1029
2003;45;Colmenar Viejo;37239
2003;44;Colmenarejo;6235
2003;48;Corpa;461
2003;49;Coslada;82176
2003;50;Cubas de la Sagra;2421
2003;53;Daganzo de Arriba;5307
2003;54; El Escorial;12669
2003;55;Estremera;1135
2003;56;Fresnedillas de la Oliva;1081
2003;57;Fresno de Torote;931
2003;58;Fuenlabrada;187963
2003;59;Fuente el Saz de Jarama;5260
2003;60;Fuentidueña de Tajo;1517
2003;61;Galapagar;26857
2003;62;Garganta de los Montes;348
2003;63;Gargantilla del Lozoya y Pinilla de Buitrago;303
2003;64;Gascones;138
2003;65;Getafe;156315
2003;66;Griñón;6594
2003;67;Guadalix de la Sierra;4109
2003;68;Guadarrama;11957
2003;69; La Hiruela;99
2003;70;Horcajo de la Sierra-Aoslos;147
2003;71;Horcajuelo de la Sierra;115
2003;72;Hoyo de Manzanares;6725
2003;73;Humanes de Madrid;11738
2003;74;Leganés;176900
2003;75;Loeches;3729
2003;76;Lozoya;513
2003;901;Lozoyuela-Navas-Sieteiglesias;774
2003;78;Madarcos;33
2003;79;Madrid;3092759
2003;80;Majadahonda;56131
2003;82;Manzanares el Real;5182
2003;83;Meco;9217
2003;84;Mejorada del Campo;18438
2003;85;Miraflores de la Sierra;4365
2003;86; El Molar;4607
