year;month;districtId;district;neighborhoodId;neighborhood;value
2006;1;2 ;ARGANZUELA;02005;DELICIAS;26048
2006;1;2 ;ARGANZUELA;02004;LEGAZPI;10480
2006;1;2 ;ARGANZUELA;02007;ATOCHA;1130
2006;1;2 ;ARGANZUELA;02003;CHOPERA;22671
2006;1;2 ;ARGANZUELA;02002;ACACIAS;38163
2006;1;2 ;ARGANZUELA;02001;IMPERIAL;23236
2006;1;2 ;ARGANZUELA;02006;PALOS DE MOGUER;29569
2006;2;2 ;ARGANZUELA;02007;ATOCHA;1163
2006;2;2 ;ARGANZUELA;02006;PALOS DE MOGUER;29615
2006;2;2 ;ARGANZUELA;02005;DELICIAS;26385
2006;2;2 ;ARGANZUELA;02002;ACACIAS;38515
2006;2;2 ;ARGANZUELA;02004;LEGAZPI;10743
2006;2;2 ;ARGANZUELA;02001;IMPERIAL;23545
2006;2;2 ;ARGANZUELA;02003;CHOPERA;22873
2006;3;2 ;ARGANZUELA;02005;DELICIAS;26011
2006;3;2 ;ARGANZUELA;02001;IMPERIAL;23451
2006;3;2 ;ARGANZUELA;02006;PALOS DE MOGUER;29041
2006;3;2 ;ARGANZUELA;02003;CHOPERA;22569
2006;3;2 ;ARGANZUELA;02007;ATOCHA;1151
2006;3;2 ;ARGANZUELA;02004;LEGAZPI;10894
2006;3;2 ;ARGANZUELA;02002;ACACIAS;38222
2006;4;2 ;ARGANZUELA;02001;IMPERIAL;23482
2006;4;2 ;ARGANZUELA;02003;CHOPERA;22533
2006;4;2 ;ARGANZUELA;02005;DELICIAS;26095
2006;4;2 ;ARGANZUELA;02002;ACACIAS;38296
2006;4;2 ;ARGANZUELA;02006;PALOS DE MOGUER;29019
2006;4;2 ;ARGANZUELA;02007;ATOCHA;1159
2006;4;2 ;ARGANZUELA;02004;LEGAZPI;11005
2006;5;2 ;ARGANZUELA;02001;IMPERIAL;23386
2006;5;2 ;ARGANZUELA;02005;DELICIAS;25966
2006;5;2 ;ARGANZUELA;02003;CHOPERA;22397
2006;5;2 ;ARGANZUELA;02004;LEGAZPI;11079
2006;5;2 ;ARGANZUELA;02007;ATOCHA;1150
2006;5;2 ;ARGANZUELA;02002;ACACIAS;38152
2006;5;2 ;ARGANZUELA;02006;PALOS DE MOGUER;28734
2006;7;2 ;ARGANZUELA;02006;PALOS DE MOGUER;28430
2006;7;2 ;ARGANZUELA;02004;LEGAZPI;11276
2006;7;2 ;ARGANZUELA;02001;IMPERIAL;23326
2006;7;2 ;ARGANZUELA;02005;DELICIAS;25893
2006;7;2 ;ARGANZUELA;02007;ATOCHA;1149
2006;7;2 ;ARGANZUELA;02002;ACACIAS;38021
2006;7;2 ;ARGANZUELA;02003;CHOPERA;22232
