year,month,district,zone,value
2005,1,ARGANZUELA,CHOPERA,22676
2005,2,ARGANZUELA,PALOS DE MOGUER,29493
2005,2,ARGANZUELA,LEGAZPI,9504
2005,2,ARGANZUELA,DELICIAS,25658
2005,2,ARGANZUELA,ACACIAS,37995
2005,2,ARGANZUELA,CHOPERA,22755
2005,2,ARGANZUELA,IMPERIAL,23102
2005,2,ARGANZUELA,ATOCHA,1161
2005,3,ARGANZUELA,CHOPERA,22825
2005,3,ARGANZUELA,IMPERIAL,23104
2005,3,ARGANZUELA,DELICIAS,25742
2005,3,ARGANZUELA,LEGAZPI,9586
2005,3,ARGANZUELA,ATOCHA,1150
2005,3,ARGANZUELA,PALOS DE MOGUER,29535
2005,3,ARGANZUELA,ACACIAS,38062
2005,4,ARGANZUELA,ATOCHA,1141
2005,4,ARGANZUELA,CHOPERA,22760
2005,4,ARGANZUELA,ACACIAS,38005
2005,4,ARGANZUELA,PALOS DE MOGUER,29489
2005,4,ARGANZUELA,DELICIAS,25724
2005,4,ARGANZUELA,IMPERIAL,23025
2005,4,ARGANZUELA,LEGAZPI,9637
2005,5,ARGANZUELA,IMPERIAL,23060
2005,5,ARGANZUELA,PALOS DE MOGUER,29551
2005,5,ARGANZUELA,CHOPERA,22724
2005,5,ARGANZUELA,DELICIAS,25798
2005,5,ARGANZUELA,ATOCHA,1137
2005,5,ARGANZUELA,ACACIAS,38031
2005,5,ARGANZUELA,LEGAZPI,9701
2005,6,ARGANZUELA,CHOPERA,22654
2005,6,ARGANZUELA,IMPERIAL,23055
2005,6,ARGANZUELA,LEGAZPI,9783
2005,6,ARGANZUELA,ACACIAS,37982
2005,6,ARGANZUELA,DELICIAS,25861
2005,6,ARGANZUELA,ATOCHA,1118
2005,6,ARGANZUELA,PALOS DE MOGUER,29571
2005,7,ARGANZUELA,DELICIAS,25880
2005,7,ARGANZUELA,CHOPERA,22674
2005,7,ARGANZUELA,PALOS DE MOGUER,29521
2005,7,ARGANZUELA,IMPERIAL,23056
2005,7,ARGANZUELA,ACACIAS,37976
2005,7,ARGANZUELA,ATOCHA,1116
2005,7,ARGANZUELA,LEGAZPI,9828
2005,8,ARGANZUELA,PALOS DE MOGUER,29595
2005,8,ARGANZUELA,CHOPERA,22705
2005,8,ARGANZUELA,ACACIAS,38049
2005,8,ARGANZUELA,ATOCHA,1119
2005,8,ARGANZUELA,DELICIAS,25961
2005,8,ARGANZUELA,IMPERIAL,23103
2005,8,ARGANZUELA,LEGAZPI,9979
2005,9,ARGANZUELA,CHOPERA,22665
2005,9,ARGANZUELA,IMPERIAL,23125
2005,9,ARGANZUELA,LEGAZPI,10058
