year;townId;name;value
2008;1; La Acebeda;57
2008;2;Ajalvir;3558
2008;3;Alameda del Valle;250
2008;4; El Álamo;7580
2008;5;Alcalá de Henares;203645
2008;6;Alcobendas;107514
2008;7;Alcorcón;167997
2008;8;Aldea del Fresno;2424
2008;9;Algete;19345
2008;10;Alpedrete;12357
2008;11;Ambite;512
2008;12;Anchuelo;959
2008;13;Aranjuez;52224
2008;14;Arganda del Rey;50309
2008;15;Arroyomolinos;11804
2008;16; El Atazar;109
2008;17;Batres;1432
2008;18;Becerril de la Sierra;5022
2008;19;Belmonte de Tajo;1381
2008;21; El Berrueco;601
2008;20;Berzosa del Lozoya;234
2008;22;Boadilla del Monte;41807
2008;23; El Boalo;6223
2008;24;Braojos;182
2008;25;Brea de Tajo;521
2008;26;Brunete;9275
2008;27;Buitrago del Lozoya;2068
2008;28;Bustarviejo;2044
2008;29;Cabanillas de la Sierra;734
2008;30; La Cabrera;2422
2008;31;Cadalso de los Vidrios;2903
2008;32;Camarma de Esteruelas;6160
2008;33;Campo Real;4865
2008;34;Canencia;521
2008;35;Carabaña;1831
2008;36;Casarrubuelos;3044
2008;37;Cenicientos;2060
2008;38;Cercedilla;6970
2008;39;Cervera de Buitrago;142
2008;51;Chapinería;1939
2008;52;Chinchón;5191
2008;40;Ciempozuelos;21256
2008;41;Cobeña;5406
2008;46;Collado Mediano;6427
2008;47;Collado Villalba;54658
2008;43;Colmenar de Oreja;8127
2008;42;Colmenar del Arroyo;1348
2008;45;Colmenar Viejo;42649
2008;44;Colmenarejo;7972
2008;48;Corpa;540
2008;49;Coslada;89918
2008;50;Cubas de la Sagra;4109
2008;53;Daganzo de Arriba;8493
2008;54; El Escorial;14873
2008;55;Estremera;1516
2008;56;Fresnedillas de la Oliva;1392
2008;57;Fresno de Torote;2018
2008;58;Fuenlabrada;194791
2008;59;Fuente el Saz de Jarama;6079
2008;60;Fuentidueña de Tajo;2001
2008;61;Galapagar;31261
2008;62;Garganta de los Montes;405
2008;63;Gargantilla del Lozoya y Pinilla de Buitrago;384
2008;64;Gascones;145
2008;65;Getafe;164043
2008;66;Griñón;9161
2008;67;Guadalix de la Sierra;5701
2008;68;Guadarrama;14318
2008;69; La Hiruela;76
2008;70;Horcajo de la Sierra-Aoslos;172
